,World _Cup,Golden _Ball,Golden _Boot,Goals,Golden _Glove,Clean _sheets,FIFA _Young _Player_ Award,FIFA _Fair _Play _Trophy
0,1930 Uruguay,Not Awarded,Guillermo Stábile,8,Not Awarded,0,Not Awarded,Not Awarded
1,1934 Italy,Not Awarded,Oldřich Nejedlý,5,Not Awarded,0,Not Awarded,Not Awarded
2,1938 France,Not Awarded,Leônidas,7,Not Awarded,0,Not Awarded,Not Awarded
3,1950 Brazil,Not Awarded,Ademir,8,Not Awarded,0,Not Awarded,Not Awarded
4,1954 Switzerland,Not Awarded,Sándor Kocsis,11,Not Awarded,0,Not Awarded,Not Awarded
5,1958 Sweden,Not Awarded,Just Fontaine,13,Not Awarded,0,Pelé,Not Awarded
6,1962 Chile,Not Awarded,Flórián Albert Garrincha Vavá Valentin Ivanov Dražan Jerković Leonel Sánchez,4,Not Awarded,0,Flórián Albert,Not Awarded
7,1966 England,Not Awarded,Eusébio,9,Not Awarded,0,Franz Beckenbauer,Not Awarded
8,1970 Mexico,Not Awarded,Gerd Müller,10,Not Awarded,0,Teófilo Cubillas,Peru
9,1974 West Germany,Not Awarded,Grzegorz Lato,7,Not Awarded,0,Władysław Żmuda,West Germany
10,1978 Argentina,Not Awarded,Mario Kempes,6,Not Awarded,0,Antonio Cabrini,Argentina
11,1982 Spain,Paolo Rossi,Paolo Rossi,6,Not Awarded,0,Manuel Amoros,Brazil
12,1986 Mexico,Diego Maradona,Gary Lineker,6,Not Awarded,0,Enzo Scifo,Brazil
13,1990 Italy,Salvatore Schillaci,Salvatore Schillaci,6,Not Awarded,0,Robert Prosinečki,England
14,1994 United States,Romário,Oleg Salenko Hristo Stoichkov,6,Michel Preud'homme,2,Marc Overmars,Brazil
15,1998 France,Ronaldo,Davor Šuker,6,Fabien Barthez,5,Michael Owen,England France
16,2002 South Korea/Japan,Oliver Kahn,Ronaldo,8,Oliver Kahn,5,Landon Donovan,Belgium
17,2006 Germany,Zinedine Zidane,Miroslav Klose,5,Gianluigi Buffon,5,Lukas Podolski,Brazil Spain
18,2010 South Africa,Diego Forlán,Thomas Müller,5,Iker Casillas,5,Thomas Müller,Spain
19,2014 Brazil,Lionel Messi,James Rodríguez,6,Manuel Neuer,4,Paul Pogba,Colombia
20,2018 Russia,Luka Modrić,Harry Kane,6,Thibaut Courtois,3,Kylian Mbappé,Spain
21,2022 Qatar,Lionel Messi,Kylian Mbappé,8,Emiliano Martínez,3,Enzo Fernández,England
