,Team,Titles,Runners-up,Third place,Fourth place,Top 4 Total
0,Brazil,"5 (1958, 1962, 1970, 1994, 2002)","2 (1950*, 1998)","2 (1938, 1978)","2 (1974, 2014*)",11
1,Germany1,"4 (1954, 1974*, 1990, 2014)","4 (1966, 1982, 1986, 2002)","4 (1934, 1970, 2006*, 2010)",1 (1958),13
2,Italy,"4 (1934*, 1938, 1982, 2006)","2 (1970, 1994)",1 (1990*),1 (1978),8
3,Argentina,"3 (1978*, 1986, 2022)","3 (1930, 1990, 2014)",,,6
4,France,"2 (1998*, 2018)","2 (2006, 2022)","2 (1958, 1986)",1 (1982),7
5,Uruguay,"2 (1930*, 1950)",,,"3 (1954, 1970, 2010)",5
6,England,1 (1966*),,,"2 (1990, 2018)",3
7,Spain,1 (2010),,,1 (1950),2
8,Netherlands,,"3 (1974, 1978, 2010)",1 (2014),1 (1998),5
9,Hungary,,"2 (1938, 1954)",,,2
10,Czech Republic2,,"2 (1934, 1962)",,,2
11,Sweden,,1 (1958*),"2 (1950, 1994)",1 (1938),4
12,Croatia,,1 (2018),"2 (1998, 2022)",,3
13,Poland,,,"2 (1974, 1982)",,2
14,Austria,,,1 (1954),1 (1934),2
15,Portugal,,,1 (1966),1 (2006),2
16,Belgium,,,1 (2018),1 (1986),2
17,United States,,,1 (1930),,1
18,Chile,,,1 (1962*),,1
19,Turkey,,,1 (2002),,1
20,Serbia3,,,,"2 (1930, 1962)",2
21,Russia4,,,,1 (1966),1
22,Bulgaria,,,,1 (1994),1
23,South Korea,,,,1 (2002*),1
24,Morocco,,,,1 (2022),1
